mapblklot,analysis_neighborhood,Historic,in_historic_district
0309016,Financial District/South Beach,1,1
5933028,Portola,0,0
7017039,Oceanview/Merced/Ingleside,0,0
7071006,Oceanview/Merced/Ingleside,0,0
5361018,Bayview Hunters Point,0,0
3745008,Financial District/South Beach,0,0
6396040,Excelsior,0,0
7094050,Oceanview/Merced/Ingleside,0,0
5886044,Excelsior,0,0
7164009,Outer Mission,0,0
6992046,Oceanview/Merced/Ingleside,0,0
5955004D,Excelsior,0,0
3617100,Mission,1,1
6992025,Oceanview/Merced/Ingleside,0,0
5335040,Bayview Hunters Point,0,0
7126B034,Oceanview/Merced/Ingleside,0,0
3753345,South of Market,0,0
7002036,Oceanview/Merced/Ingleside,0,0
7126B029,Oceanview/Merced/Ingleside,0,0
3511066,Mission,1,1
6203009,Visitacion Valley,0,0
6177004,Visitacion Valley,0,0
5672019,Bernal Heights,0,0
5396001B,Bayview Hunters Point,0,0
6235006,Visitacion Valley,0,0
5070002A,Bayview Hunters Point,1,1
3753033,South of Market,0,0
4761030,Bayview Hunters Point,0,0
5935035,Excelsior,0,0
6255004,Visitacion Valley,0,0
5542003,Bernal Heights,0,0
4212003,Mission,0,0
7047043,Oceanview/Merced/Ingleside,0,0
7010040,Oceanview/Merced/Ingleside,0,0
3755237,South of Market,0,0
0298008,Nob Hill,1,1
4280006,Potrero Hill,0,0
0661030,Pacific Heights,1,1
6074032,Excelsior,0,0
3203016,Outer Mission,0,0
6244056,Visitacion Valley,0,0
5501044A,Bernal Heights,0,0
6469022,Excelsior,0,0
3775029,Financial District/South Beach,1,1
5467015,Portola,0,0
4078014,Mission,0,0
3211023,Outer Mission,0,0
5724012,Bernal Heights,0,0
6341023,Excelsior,0,0
5877042,Portola,0,0
7052006,Oceanview/Merced/Ingleside,0,0
4268010,Mission,0,0
6530024,Mission,0,0
6054013,Portola,0,0
4336011,Mission,0,0
7032A007J,Outer Mission,0,0
6489013C,Excelsior,0,0
6786056,Outer Mission,0,0
5647009,Bernal Heights,0,0
6166003,Visitacion Valley,0,0
6008010,Excelsior,0,0
7159001C,Outer Mission,0,0
5987033,Portola,0,0
6200023,Visitacion Valley,0,0
4103046,Potrero Hill,0,0
5478006,Portola,0,0
6779042,Outer Mission,0,0
4160070,Potrero Hill,0,0
0156005,Nob Hill,0,0
6014041,Excelsior,0,0
6476009,Excelsior,0,0
3548019,Mission,0,0
0744012,Western Addition,0,0
5335A023,Bayview Hunters Point,0,0
6969003E,Outer Mission,0,0
7092005,Oceanview/Merced/Ingleside,0,0
5943004,Excelsior,0,0
6993012,Oceanview/Merced/Ingleside,0,0
5383027,Bayview Hunters Point,0,0
6446010,Excelsior,0,0
7101B022,Outer Mission,0,0
5982005C,Portola,0,0
0652013,Pacific Heights,1,1
6320019,Visitacion Valley,0,0
7062037,Oceanview/Merced/Ingleside,0,0
6660016,Bernal Heights,0,0
3755096,South of Market,0,0
7096C018,Outer Mission,0,0
3770002,Financial District/South Beach,0,0
5543010,Bernal Heights,0,0
6245031,Visitacion Valley,0,0
5669030,Bernal Heights,0,0
7133014,Oceanview/Merced/Ingleside,0,0
4271006,Mission,0,0
0243027,Chinatown,0,0
6462008,Excelsior,0,0
6594023,Noe Valley,0,0
5898003,Excelsior,0,0
5054A080,Bayview Hunters Point,1,1
5659024,Bernal Heights,0,0
5395027,Bayview Hunters Point,0,0
5610A036,Bernal Heights,0,0
6345046,Excelsior,0,0
5935009,Excelsior,0,0
5684006,Bernal Heights,0,0
4283B004,Potrero Hill,0,0
7094060,Oceanview/Merced/Ingleside,0,0
4217034,Potrero Hill,0,0
7049032,Oceanview/Merced/Ingleside,0,0
5637032,Bernal Heights,0,0
5934034,Portola,0,0
5893036,Excelsior,0,0
3618017,Mission,0,0
6418060,Excelsior,0,0
7031010A,Outer Mission,0,0
7081A039,Oceanview/Merced/Ingleside,0,0
5611028,Bernal Heights,0,0
3775137,Financial District/South Beach,1,1
7044C014,Outer Mission,0,0
5967023,Excelsior,0,0
3616013,Mission,0,0
6095004,Excelsior,0,0
4710084,Bayview Hunters Point,0,0
4052002,Potrero Hill,1,1
6317020,Visitacion Valley,0,0
5948018,Excelsior,0,0
0090013,Chinatown,0,0
5575012,Bernal Heights,0,0
6282015,Excelsior,0,0
3549085,Mission,1,1
3736112,Financial District/South Beach,0,0
7331247,Lakeshore,1,1
3609048,Mission,1,1
5887012A,Excelsior,0,0
6482019,Excelsior,0,0
5889004,Excelsior,0,0
3576028,Mission,0,0
3616059,Mission,0,0
7092088,Oceanview/Merced/Ingleside,0,0
0664025,Pacific Heights,1,1
5718031,Bernal Heights,0,0
5322024,Bayview Hunters Point,0,0
3618068,Mission,1,1
4150019,Mission,1,1
5882050,Portola,0,0
0145030,North Beach,1,1
5523003,Bernal Heights,1,1
3615009A,Mission,0,0
6121009,Portola,0,0
3523008,Mission,0,0
7145071,Outer Mission,0,0
5525025,Bernal Heights,1,1
7002016,Oceanview/Merced/Ingleside,0,0
0157032,Nob Hill,0,0
5978010,Portola,0,0
6529001,Mission,0,0
5859028,Portola,0,0
3760071,South of Market,0,0
6997007,Oceanview/Merced/Ingleside,0,0
3780004C,South of Market,0,0
6483007,Excelsior,0,0
6341012,Excelsior,0,0
7052004,Oceanview/Merced/Ingleside,0,0
6404002,Excelsior,0,0
6795D006,Outer Mission,0,0
4153026,Mission,0,0
6280021,Excelsior,0,0
7066021,Outer Mission,0,0
7048019,Oceanview/Merced/Ingleside,0,0
5654003,Bernal Heights,0,0
5718012,Bernal Heights,0,0
5503025,Bernal Heights,0,0
7072044,Oceanview/Merced/Ingleside,0,0
7114004A,Oceanview/Merced/Ingleside,0,0
5875009,Portola,0,0
5395054,Bayview Hunters Point,0,0
5939019,Excelsior,0,0
3144C015,Outer Mission,0,0
6534052,Mission,0,0
3587066,Mission,0,0
7125009B,Oceanview/Merced/Ingleside,0,0
6016001,Excelsior,0,0
4966022,Bayview Hunters Point,0,0
5556012,Bernal Heights,0,0
4591B019,Bayview Hunters Point,0,0
5620019,Bernal Heights,0,0
5961003,Excelsior,0,0
5671006,Bernal Heights,0,0
3732127,South of Market,0,0
6176006,Visitacion Valley,0,0
0163023,North Beach,1,1
5524031,Bernal Heights,0,0
0300003D,Nob Hill,1,1
5950001B,Excelsior,0,0
5351032,Bayview Hunters Point,0,0
7114031A,Oceanview/Merced/Ingleside,0,0
5541005,Bernal Heights,0,0
4036011,Potrero Hill,0,0
6047013A,Portola,0,0
0700026,Japantown,0,0
5312039,Bayview Hunters Point,0,0
1069005,Presidio Heights,0,0
5701028,Bernal Heights,0,0
3722081,Financial District/South Beach,0,0
0183023,Nob Hill,0,0
4210025,Mission,0,0
5826014,Bernal Heights,0,0
5617038,Bernal Heights,0,0
7147033,Oceanview/Merced/Ingleside,0,0
5957016,Excelsior,0,0
5642011A,Bernal Heights,0,0
5678011,Bernal Heights,0,0
3632002,Mission,0,0
3726098,South of Market,0,0
6306030,Visitacion Valley,0,0
4969018,Bayview Hunters Point,0,0
7034003,Oceanview/Merced/Ingleside,0,0
5394001A,Bayview Hunters Point,0,0
7159006,Outer Mission,0,0
5335024,Bayview Hunters Point,0,0
7029A024,Outer Mission,0,0
3615031B,Mission,0,0
5612047,Bernal Heights,0,0
5690021,Bernal Heights,0,0
4074013A,Potrero Hill,0,0
6484008,Excelsior,0,0
0164017,North Beach,1,1
0193022,Chinatown,1,1
5627021,Bernal Heights,0,0
3641087,Mission,1,1
5308009A,Bayview Hunters Point,0,0
4086031,Mission,0,0
3726054,South of Market,0,0
5556049,Bernal Heights,0,0
6277040,Excelsior,0,0
5383024B,Bayview Hunters Point,0,0
6634013,Noe Valley,0,0
5428C016,Bayview Hunters Point,0,0
0117007,Chinatown,0,0
5341020,Bayview Hunters Point,0,0
5858020,Portola,0,0
4144035,Mission,0,0
5068004A,Visitacion Valley,0,0
4084005,Mission,0,0
5506010,Bernal Heights,0,0
6442024,Excelsior,0,0
0146030,Chinatown,0,0
0733021,Western Addition,0,0
4162056,Potrero Hill,0,0
0735022,Western Addition,0,0
6004029,Excelsior,0,0
7064008,Outer Mission,0,0
3638100,Mission,1,1
6089010,Excelsior,0,0
5016012,Bayview Hunters Point,0,0
3704015,South of Market,1,1
4914004,Bayview Hunters Point,0,0
6325011,Visitacion Valley,0,0
5717024A,Bernal Heights,0,0
3568038,Mission,0,0
6338009,Excelsior,0,0
6521067,Mission,1,1
3640093,Mission,0,0
5688040,Bernal Heights,0,0
7130037,Oceanview/Merced/Ingleside,0,0
4097042A,Potrero Hill,0,0
3954009,Mission Bay,0,0
6018021,Excelsior,0,0
3546001,Mission,0,0
3641071,Mission,1,1
5513012G,Bernal Heights,0,0
5523038,Bernal Heights,1,1
5710027,Bernal Heights,0,0
0319020,Tenderloin,1,1
0763002,Tenderloin,0,0
5886041,Excelsior,0,0
5399025,Bayview Hunters Point,0,0
6167021,Visitacion Valley,0,0
6478008,Excelsior,0,0
6736030,Glen Park,0,0
4153044,Mission,0,0
5883007,Portola,0,0
5958019,Excelsior,0,0
6449010,Excelsior,0,0
6596013L,Bernal Heights,0,0
4101034,Potrero Hill,0,0
6782023,Outer Mission,0,0
5745024,Bernal Heights,0,0
5526024,Bernal Heights,1,1
4711193,Bayview Hunters Point,0,0
5947034,Excelsior,0,0
5862A012,Portola,0,0
7090019,Oceanview/Merced/Ingleside,0,0
0330001,Tenderloin,1,1
3643015A,Mission,0,0
6989005,Oceanview/Merced/Ingleside,0,0
4788008,Bayview Hunters Point,0,0
3548064,Mission,0,0
0181045,Nob Hill,0,0
5439016,Bayview Hunters Point,0,0
6348013D,Excelsior,0,0
7156042,Outer Mission,0,0
3732091,South of Market,0,0
5423A009,Bayview Hunters Point,0,0
6969010,Outer Mission,0,0
7118003,Oceanview/Merced/Ingleside,0,0
7116016,Oceanview/Merced/Ingleside,0,0
6167039,Visitacion Valley,0,0
5878023,Portola,0,0
4940025,Bayview Hunters Point,0,0
7114037A,Oceanview/Merced/Ingleside,0,0
3718040,Financial District/South Beach,0,0
6247025,Visitacion Valley,0,0
6978063,Oceanview/Merced/Ingleside,0,0
6528071,Mission,0,0
7129001B,Oceanview/Merced/Ingleside,0,0
0129028,Chinatown,0,0
6420029,Excelsior,0,0
4760013,Bayview Hunters Point,0,0
5426016,Bayview Hunters Point,0,0
4082008,Mission,0,0
6727017,Glen Park,0,0
4264019A,Mission,0,0
4159066,Potrero Hill,0,0
5874016,Portola,0,0
4991224,Bayview Hunters Point,0,0
7120008,Oceanview/Merced/Ingleside,0,0
5966033,Excelsior,0,0
6166006,Visitacion Valley,0,0
6086004,Excelsior,0,0
7035020,Oceanview/Merced/Ingleside,0,0
7106046,Oceanview/Merced/Ingleside,0,0
5328056,Bayview Hunters Point,0,0
6237020,Visitacion Valley,0,0
6433014,Excelsior,0,0
5524007,Bernal Heights,1,1
5526002,Bernal Heights,1,1
5341011B,Bayview Hunters Point,0,0
6124009B,Portola,0,0
0147003,Chinatown,0,0
4008012,Potrero Hill,0,0
5611064,Bernal Heights,0,0
6569027,Mission,0,0
6394012,Excelsior,0,0
5305041,Bayview Hunters Point,0,0
6995021,Oceanview/Merced/Ingleside,0,0
4758021,Bayview Hunters Point,0,0
6753032,Outer Mission,0,0
5950008C,Excelsior,0,0
6798037,Outer Mission,0,0
3577064,Mission,0,0
5708019,Bernal Heights,0,0
7132004,Oceanview/Merced/Ingleside,0,0
0164005,North Beach,1,1
6322008C,Visitacion Valley,0,0
4759036,Bayview Hunters Point,0,0
3203018,Outer Mission,0,0
7087041,Oceanview/Merced/Ingleside,0,0
5305032,Bayview Hunters Point,0,0
3149032B,Outer Mission,0,0
6297004,Visitacion Valley,0,0
5663017,Bernal Heights,0,0
6722029,Outer Mission,0,0
6279015,Excelsior,0,0
7107023A,Oceanview/Merced/Ingleside,0,0
3206031,Outer Mission,0,0
3576055,Mission,0,0
5862A014,Portola,0,0
3752032,South of Market,0,0
6091003A,Excelsior,0,0
6177002,Visitacion Valley,0,0
6477004,Excelsior,0,0
7076042,Oceanview/Merced/Ingleside,0,0
3731168,South of Market,0,0
7019017,Oceanview/Merced/Ingleside,0,0
6951010F,Outer Mission,0,0
0488A041,Marina,1,1
7065020,Outer Mission,0,0
6159012,Portola,0,0
5319043,Bayview Hunters Point,0,0
6258001A,Visitacion Valley,0,0
6004051,Excelsior,0,0
5968006,Excelsior,0,0
5956002,Excelsior,0,0
5810022,Bernal Heights,0,0
7009009,Oceanview/Merced/Ingleside,0,0
6786041,Outer Mission,0,0
4274029,Mission,0,0
6176003B,Visitacion Valley,0,0
3574041,Mission,0,0
0150016,Nob Hill,1,1
3576030,Mission,0,0
7090012,Oceanview/Merced/Ingleside,0,0
6236035,Visitacion Valley,0,0
5428C022,Bayview Hunters Point,0,0
5339008,Bayview Hunters Point,0,0
6971B012,Outer Mission,0,0
0299014,Nob Hill,1,1
6348001F,Excelsior,0,0
6517024,Mission,0,0
5964015,Excelsior,0,0
0237014,Financial District/South Beach,0,0
0326018,Tenderloin,1,1
3747014,Financial District/South Beach,0,0
5971030,Portola,0,0
3642030,Mission,0,0
6596013J,Bernal Heights,0,0
4013006,Mission,0,0
4730017,Bayview Hunters Point,0,0
5948002,Excelsior,0,0
3644012,Mission,0,0
6489007D,Excelsior,0,0
0107007,Financial District/South Beach,0,0
4791026,Bayview Hunters Point,0,0
4160023,Potrero Hill,0,0
5841003,Bernal Heights,0,0
4965039,Bayview Hunters Point,0,0
7099009,Outer Mission,0,0
7116001B,Oceanview/Merced/Ingleside,0,0
5297040,Bayview Hunters Point,0,0
6072010B,Excelsior,0,0
0344002,Tenderloin,1,1
0310019,Financial District/South Beach,1,1
3514031,Mission,0,0
6485013,Excelsior,0,0
0210038,Chinatown,1,1
4938014,Bayview Hunters Point,0,0
7019018A,Oceanview/Merced/Ingleside,0,0
6402009,Excelsior,0,0
5881004,Portola,0,0
0732003,Western Addition,0,0
5895020A,Excelsior,0,0
6209051,Visitacion Valley,0,0
5721075,Bernal Heights,0,0
6482009,Excelsior,0,0
6396055,Excelsior,0,0
7077010,Oceanview/Merced/Ingleside,0,0
4720075,Bayview Hunters Point,0,0
7067029,Oceanview/Merced/Ingleside,0,0
6692065,Bernal Heights,0,0
0273001D,Nob Hill,0,0
6192017,Visitacion Valley,0,0
7162008,Outer Mission,0,0
0115034,North Beach,1,1
4027037,Potrero Hill,0,0
5335A065,Bayview Hunters Point,0,0
6197001A,Visitacion Valley,0,0
3753148,South of Market,0,0
5668019,Bernal Heights,0,0
4943042,Bayview Hunters Point,0,0
5842023,Bernal Heights,0,0
6190009,Visitacion Valley,0,0
6467006A,Excelsior,0,0
1642036,Inner Richmond,0,0
5513007,Bernal Heights,0,0
3753085,South of Market,0,0
3641010A,Mission,0,0
7043009,Outer Mission,0,0
3553037,Mission,0,0
7170027,Outer Mission,0,0
3732125,South of Market,0,0
3746002,Financial District/South Beach,0,0
5833002,Bernal Heights,0,0
5687028,Bernal Heights,0,0
3732126,South of Market,0,0
5329014,Bayview Hunters Point,0,0
3151003,Outer Mission,0,0
7137059,Oceanview/Merced/Ingleside,1,1
6304029,Visitacion Valley,0,0
0039010,North Beach,0,0
5524040,Bernal Heights,0,0
6191063,Visitacion Valley,0,0
0252015,Nob Hill,0,0
5354A031,Bayview Hunters Point,0,0
6419025,Excelsior,0,0
4761029,Bayview Hunters Point,0,0
6467020,Excelsior,0,0
4270023,Mission,1,1
6568011,Mission,0,0
0758028,Western Addition,0,0
5673041,Bernal Heights,0,0
3607031,Mission,0,0
5727031,Bernal Heights,0,0
4069033,Potrero Hill,0,0
5626015,Bernal Heights,0,0
5354045,Bayview Hunters Point,0,0
6994035,Oceanview/Merced/Ingleside,0,0
4338024,Mission,0,0
5540029,Bernal Heights,0,0
5330027,Bayview Hunters Point,0,0
7096B006,Outer Mission,0,0
4100004D,Potrero Hill,0,0
6194024,Visitacion Valley,0,0
7331085,Lakeshore,1,1
6045002B,Portola,0,0
5955005A,Excelsior,0,0
5981012A,Portola,0,0
4271027,Mission,0,0
6023002,Excelsior,0,0
6252005,Visitacion Valley,0,0
5080023,Bayview Hunters Point,1,1
3567022,Mission,0,0
5670031,Bernal Heights,0,0
6005002,Excelsior,0,0
3751411,South of Market,0,0
5297034,Bayview Hunters Point,0,0
7097007,Outer Mission,0,0
5082001B,Bayview Hunters Point,1,1
0286022,Financial District/South Beach,1,1
6198036,Visitacion Valley,0,0
5978019,Portola,0,0
0151014,Nob Hill,0,0
4101162,Potrero Hill,0,0
5724007A,Bernal Heights,0,0
5513021,Bernal Heights,0,0
6281001,Excelsior,0,0
0156031,Nob Hill,0,0
5629026,Bernal Heights,0,0
6967009,Outer Mission,0,0
6306038,Visitacion Valley,0,0
7046A005,Outer Mission,0,0
6255018,Visitacion Valley,0,0
4099023,Potrero Hill,0,0
0279010,Nob Hill,1,1
4210026,Mission,0,0
7104001A,Oceanview/Merced/Ingleside,0,0
5992009,Portola,0,0
5405031,Bayview Hunters Point,0,0
0677040,Pacific Heights,1,1
5723043,Bernal Heights,0,0
6394020,Excelsior,0,0
5354A026,Bayview Hunters Point,0,0
6238029,Visitacion Valley,0,0
3618055,Mission,1,1
4095041,Potrero Hill,0,0
5471001C,Bayview Hunters Point,0,0
6158036,Portola,0,0
5611045,Bernal Heights,0,0
5506001,Bernal Heights,0,0
4281A025C,Potrero Hill,0,0
6277017,Excelsior,0,0
3725102,South of Market,0,0
7090021,Oceanview/Merced/Ingleside,0,0
5936041,Excelsior,0,0
7166034,Outer Mission,0,0
4995001,Bayview Hunters Point,0,0
7056002B,Oceanview/Merced/Ingleside,0,0
5542039,Bernal Heights,0,0
6723011,Outer Mission,0,0
7029001A,Outer Mission,0,0
5378046,Bayview Hunters Point,0,0
7148050,Oceanview/Merced/Ingleside,0,0
6778036,Outer Mission,0,0
4790017,Bayview Hunters Point,0,0
7044A009,Outer Mission,0,0
5975008,Portola,0,0
3721049,Financial District/South Beach,1,1
3728036,South of Market,1,1
6691038,Bernal Heights,0,0
6472021A,Excelsior,0,0
6062010,Portola,0,0
5865005,Portola,0,0
6444017,Excelsior,0,0
4971013,Bayview Hunters Point,0,0
0226006,Chinatown,1,1
5384A006,Bayview Hunters Point,0,0
5641018,Bernal Heights,0,0
3145042,Outer Mission,0,0
6527053,Mission,0,0
4938024A,Bayview Hunters Point,0,0
0118004,Chinatown,0,0
6240022,Visitacion Valley,0,0
6449018,Excelsior,0,0
6357002,Visitacion Valley,0,0
7096C002,Outer Mission,0,0
7125001B,Oceanview/Merced/Ingleside,0,0
5517089,Bernal Heights,0,0
5620028,Bernal Heights,0,0
4011012,Potrero Hill,0,0
1032002,Presidio Heights,0,0
7104024,Oceanview/Merced/Ingleside,0,0
3513062,Mission,1,1
3598142,Mission,1,1
6234029,Visitacion Valley,0,0
3607030,Mission,0,0
5550010,Bernal Heights,0,0
7015032,Oceanview/Merced/Ingleside,0,0
5505016,Bernal Heights,0,0
4991410,Bayview Hunters Point,0,0
5353007C,Bayview Hunters Point,0,0
6469001,Excelsior,0,0
7133019,Oceanview/Merced/Ingleside,0,0
5541018,Bernal Heights,0,0
6797043,Outer Mission,0,0
7052007,Oceanview/Merced/Ingleside,0,0
0143012A,North Beach,0,0
0753053,Western Addition,0,0
6124005,Portola,0,0
4003013,Potrero Hill,0,0
6968046,Outer Mission,0,0
5923005A,Portola,0,0
1706041,Sunset/Parkside,0,0
6463052B,Excelsior,0,0
6616043,Noe Valley,0,0
6209006,Visitacion Valley,0,0
6453026,Excelsior,0,0
6200066,Visitacion Valley,0,0
6493022,Excelsior,0,0
3570039,Mission,0,0
5383024,Bayview Hunters Point,0,0
3147011A,Outer Mission,0,0
7163021,Outer Mission,0,0
5698023,Bernal Heights,0,0
7036016A,Oceanview/Merced/Ingleside,0,0
5887021,Excelsior,0,0
3609111,Mission,1,1
4965053,Bayview Hunters Point,0,0
7156068,Outer Mission,0,0
5392041,Bayview Hunters Point,0,0
6117009,Portola,0,0
6273006,Excelsior,0,0
6346003C,Excelsior,0,0
7050007,Oceanview/Merced/Ingleside,0,0
6971A037,Outer Mission,0,0
6414008,Excelsior,0,0
6096020,Excelsior,0,0
5726016,Bernal Heights,0,0
5928030,Portola,0,0
4991644,Bayview Hunters Point,0,0
3646027,Mission,1,1
3645022,Mission,1,1
3594122,Mission,0,0
6961012,Outer Mission,0,0
6463083,Excelsior,0,0
6009030,Excelsior,0,0
5428C008,Bayview Hunters Point,0,0
5655020,Bernal Heights,0,0
4078016,Mission,0,0
5740029,Bernal Heights,0,0
7118012,Oceanview/Merced/Ingleside,0,0
6209038,Visitacion Valley,0,0
6149009,Portola,0,0
3614087,Mission,1,1
0090035,Chinatown,0,0
7105013,Oceanview/Merced/Ingleside,0,0
4139011,Mission,0,0
4974014,Bayview Hunters Point,0,0
3763080A,Financial District/South Beach,0,0
3209005,Outer Mission,0,0
3587031,Mission,1,1
6467018A,Excelsior,0,0
6490007,Excelsior,0,0
5408002,Bayview Hunters Point,0,0
6086010E,Excelsior,0,0
3788038,Financial District/South Beach,1,1
6569028,Mission,0,0
6951010E,Outer Mission,0,0
4938023,Bayview Hunters Point,0,0
0271015,Financial District/South Beach,1,1
7091002,Oceanview/Merced/Ingleside,0,0
3607058A,Mission,0,0
6448042,Excelsior,0,0
0115085,North Beach,0,0
6043020,Portola,0,0
4940002A,Bayview Hunters Point,0,0
5710044,Bernal Heights,0,0
6279042,Excelsior,0,0
6277001A,Excelsior,0,0
3588080,Mission,1,1
6320002,Visitacion Valley,0,0
3729139,South of Market,1,1
7052036,Oceanview/Merced/Ingleside,0,0
5965039,Excelsior,0,0
5354A033,Bayview Hunters Point,0,0
6340039,Excelsior,0,0
5860046,Portola,0,0
4069049,Potrero Hill,0,0
4208020,Mission,0,0
5814040,Bernal Heights,0,0
5677019,Bernal Heights,0,0
6954023A,Outer Mission,0,0
6013021,Excelsior,0,0
3951005,Mission Bay,0,0
6524042,Mission,0,0
6997036,Oceanview/Merced/Ingleside,0,0
6518014,Mission,0,0
5341003A,Bayview Hunters Point,0,0
5907001,Excelsior,0,0
4160072,Potrero Hill,0,0
7092020,Oceanview/Merced/Ingleside,0,0
6992005,Oceanview/Merced/Ingleside,0,0
6489049,Excelsior,0,0
3647003,Mission,0,0
3211013D,Outer Mission,0,0
5355013,Bayview Hunters Point,0,0
5943024,Excelsior,0,0
6081016,Excelsior,0,0
7112031,Oceanview/Merced/Ingleside,0,0
5644031,Bernal Heights,0,0
4224173,Potrero Hill,0,0
3984006A,Potrero Hill,0,0
7056023A,Oceanview/Merced/Ingleside,0,0
5726003,Bernal Heights,0,0
4259016,Potrero Hill,0,0
5946029,Excelsior,0,0
4274030,Mission,0,0
0321027,Tenderloin,1,1
6796019,Outer Mission,0,0
6190079,Visitacion Valley,0,0
5361020A,Bayview Hunters Point,0,0
0101014,Chinatown,0,0
6275006,Excelsior,0,0
3786321,South of Market,0,0
6463024,Excelsior,0,0
4071010,Potrero Hill,0,0
6258022,Visitacion Valley,0,0
0321014,Tenderloin,1,1
7043001E,Outer Mission,0,0
6307001X,Visitacion Valley,0,0
7077051,Oceanview/Merced/Ingleside,0,0
7007038,Oceanview/Merced/Ingleside,0,0
7008008,Oceanview/Merced/Ingleside,0,0
3784015,South of Market,0,0
6255001,Visitacion Valley,0,0
6721013,Outer Mission,0,0
3587076,Mission,1,1
5958012,Excelsior,0,0
6197004E,Visitacion Valley,0,0
6463040A,Excelsior,0,0
6531018,Mission,0,0
6318019,Visitacion Valley,0,0
5647006,Bernal Heights,0,0
4732003A,Bayview Hunters Point,0,0
5883001,Portola,0,0
4088023,Mission,0,0
5696004,Bernal Heights,0,0
6688025,Bernal Heights,0,0
4224150,Potrero Hill,0,0
1258050,Haight Ashbury,0,0
6514024,Mission,0,0
5964025,Excelsior,0,0
6077005,Excelsior,0,0
3729002,South of Market,1,1
4161042,Potrero Hill,0,0
6463078,Excelsior,0,0
7056033,Oceanview/Merced/Ingleside,0,0
5942025,Excelsior,0,0
5963023,Excelsior,0,0
3777001,South of Market,0,0
4713037,Bayview Hunters Point,0,0
6750049,Outer Mission,0,0
0147001,Chinatown,0,0
5383004,Bayview Hunters Point,0,0
7047048,Oceanview/Merced/Ingleside,0,0
0304003,Tenderloin,0,0
6320001C,Visitacion Valley,0,0
6165010,Visitacion Valley,0,0
0238002,Financial District/South Beach,0,0
7125006,Oceanview/Merced/Ingleside,0,0
0144014,North Beach,0,0
6996009,Oceanview/Merced/Ingleside,0,0
5980017D,Portola,0,0
4787020A,Bayview Hunters Point,0,0
6374017,Visitacion Valley,0,0
4711114,Bayview Hunters Point,0,0
3646016,Mission,1,1
7049043,Oceanview/Merced/Ingleside,0,0
5273032,Bayview Hunters Point,0,0
4220031,Potrero Hill,0,0
5746005C,Bernal Heights,0,0
7174011,Outer Mission,0,0
4275001B,Mission,0,0
5328043,Bayview Hunters Point,0,0
7113015,Oceanview/Merced/Ingleside,0,0
5380012,Bayview Hunters Point,0,0
6170021,Portola,0,0
5632009,Bernal Heights,0,0
5080025,Bayview Hunters Point,1,1
6149006,Portola,0,0
7018033,Oceanview/Merced/Ingleside,0,0
5861044,Portola,0,0
0285001,Financial District/South Beach,1,1
0321037,Tenderloin,1,1
4759009,Bayview Hunters Point,0,0
4152043,Mission,0,0
6158019,Portola,0,0
6688040,Bernal Heights,0,0
6969007E,Outer Mission,0,0
5699019,Bernal Heights,0,0
0303012,Tenderloin,1,1
5706007,Bernal Heights,0,0
6409012,Excelsior,0,0
6357043,Visitacion Valley,0,0
3211006,Outer Mission,0,0
7065011B,Outer Mission,0,0
3590097,Mission,0,0
5634003,Bernal Heights,0,0
3596005,Mission,1,1
4074011A,Potrero Hill,0,0
6113034,Portola,0,0
7043005D,Outer Mission,0,0
4792024,Bayview Hunters Point,0,0
3711019,Financial District/South Beach,0,0
4142031,Mission,0,0
6168007,Visitacion Valley,0,0
5434A018,Bayview Hunters Point,0,0
5890008,Excelsior,0,0
0298009,Nob Hill,1,1
6119008,Portola,0,0
6530006,Mission,0,0
4207014A,Mission,0,0
3513049,Mission,1,1
5882030,Portola,0,0
6206011,Visitacion Valley,0,0
4224007,Potrero Hill,0,0
4103045,Potrero Hill,0,0
5892021,Excelsior,0,0
3975001A,Mission,0,0
6188027,Visitacion Valley,0,0
6164028,McLaren Park,0,0
3589112,Mission,1,1
5935036,Excelsior,0,0
3609087,Mission,1,1
6154001,Portola,0,0
5870032A,Excelsior,0,0
6473003,Excelsior,0,0
5724021,Bernal Heights,0,0
6276018,Excelsior,0,0
5986018,Portola,0,0
7052040,Oceanview/Merced/Ingleside,0,0
5384A026,Bayview Hunters Point,0,0
3577009,Mission,0,0
5551005,Bernal Heights,0,0
5513006,Bernal Heights,0,0
6014040,Excelsior,0,0
0161039,Chinatown,0,0
7030075,Outer Mission,0,0
5335A125,Bayview Hunters Point,0,0
6599030,Noe Valley,0,0
4991629,Bayview Hunters Point,0,0
5082007,Bayview Hunters Point,1,1
5669021,Bernal Heights,0,0
4283B042,Potrero Hill,0,0
5501072,Bernal Heights,0,0
5940014,Excelsior,0,0
7122001,Oceanview/Merced/Ingleside,0,0
0732027,Western Addition,0,0
6599005,Noe Valley,0,0
4098001E,Potrero Hill,0,0
3514006,Mission,0,0
3642027,Mission,0,0
5378013,Bayview Hunters Point,0,0
6500009,Excelsior,0,0
0697039,Japantown,0,0
5813010,Bernal Heights,0,0
5971006,Portola,0,0
3648014,Mission,1,1
4264016,Mission,0,0
6434002,Excelsior,0,0
0289005,Financial District/South Beach,0,0
3615082,Mission,0,0
4224120,Potrero Hill,0,0
4936018,Bayview Hunters Point,0,0
3779040,South of Market,0,0
5467011,Portola,0,0
3730120,South of Market,1,1
4971014,Bayview Hunters Point,0,0
4262030,Mission,0,0
