mapblklot,analysis_neighborhood,Historic,in_historic_district
0662055,Pacific Heights,1,1
4991423,Bayview Hunters Point,0,0
6086013C,Excelsior,0,0
5922027,Portola,0,0
4274044,Mission,0,0
4086002,Mission,0,0
6018002,Excelsior,0,0
5946018,Excelsior,0,0
7094022A,Oceanview/Merced/Ingleside,0,0
0837095,Hayes Valley,0,0
3708175,Financial District/South Beach,0,0
6008033,Excelsior,0,0
4969052,Bayview Hunters Point,0,0
5933024,Portola,0,0
0839005B,Hayes Valley,1,1
5917020,Portola,0,0
3740036,Financial District/South Beach,0,0
5887004,Excelsior,0,0
4098002B,Potrero Hill,0,0
0779091,Western Addition,0,0
3776153,South of Market,0,0
3751175,South of Market,0,0
6281033,Excelsior,0,0
5721049,Bernal Heights,0,0
6112024,Portola,0,0
6121015,Portola,0,0
4104041,Potrero Hill,0,0
3647057,Mission,0,0
5948008C,Excelsior,0,0
6567037,Mission,0,0
3636037,Mission,0,0
4052003,Potrero Hill,1,1
6965B026,Outer Mission,0,0
6171033,Portola,0,0
7040B002,Outer Mission,0,0
5069015,Bayview Hunters Point,1,1
6374037,Visitacion Valley,0,0
3703201,South of Market,0,0
5720065,Bernal Heights,0,0
3962015,Mission,0,0
3794021,Mission Bay,1,1
3785233,Mission Bay,0,0
6795A008,Outer Mission,0,0
3948004,Mission Bay,0,0
3639039,Mission,0,0
5335A060,Bayview Hunters Point,0,0
0837068,Hayes Valley,0,0
6954040,Outer Mission,0,0
0693019,Tenderloin,1,1
7005019,Oceanview/Merced/Ingleside,0,0
6092021A,Excelsior,0,0
0700027,Japantown,0,0
7381185,Lakeshore,0,0
4069028,Potrero Hill,0,0
3576092,Mission,0,0
5864012,Portola,0,0
4009008L,Potrero Hill,0,0
3505023,Mission,0,0
4281A023,Potrero Hill,0,0
7106030,Oceanview/Merced/Ingleside,0,0
3633003,Mission,0,0
5254008,Bayview Hunters Point,0,0
5718028,Bernal Heights,0,0
6568040,Mission,0,0
3703101,South of Market,0,0
5742028A,Bernal Heights,0,0
3736A001,Financial District/South Beach,0,0
3146010,Outer Mission,0,0
0171018,Financial District/South Beach,0,0
0311016,Financial District/South Beach,0,0
4104057,Potrero Hill,0,0
3984020,Potrero Hill,0,0
0834032,Hayes Valley,0,0
0052041,North Beach,0,0
3787166,South of Market,0,0
7044B026,Outer Mission,0,0
0816009,Hayes Valley,1,1
6781018E,Outer Mission,0,0
6273024B,Excelsior,0,0
5549090,Bernal Heights,0,0
5940027A,Excelsior,0,0
