mapblklot,analysis_neighborhood,Height_Ft
6526036,Mission,40
0115055,North Beach,40
5670030,Bernal Heights,40
3595032,Mission,55
0212045,Nob Hill,65
6516025,Mission,55
6345003,Excelsior,40
7070031,Oceanview/Merced/Ingleside,40
7017017,Oceanview/Merced/Ingleside,40
3735065,Financial District/South Beach,320
3707064,Financial District/South Beach,300
7037015,Oceanview/Merced/Ingleside,40
6233043,Visitacion Valley,40
0167010,Financial District/South Beach,275
6530043,Mission,55
5870025,Excelsior,40
5921021,Portola,40
4052006,Potrero Hill,90
0275011,Nob Hill,65
5978003,Portola,40
7166024,Outer Mission,40
0310020,Financial District/South Beach,130
4081026,Mission,58
6274020,Excelsior,40
5686017,Bernal Heights,40
3212040,Outer Mission,40
6688013,Bernal Heights,40
7006039,Oceanview/Merced/Ingleside,40
3719450,Financial District/South Beach,700
4073017,Potrero Hill,40
3208A001F,Outer Mission,40
4093062,Potrero Hill,40
6407001,Excelsior,40
7381005,Lakeshore,40
6234012,Visitacion Valley,40
0052012,North Beach,40
5810005,Bernal Heights,40
7069017,Oceanview/Merced/Ingleside,40
5054A130,Bayview Hunters Point,40
5933006A,Portola,40
7331133,Lakeshore,40
5927025,Portola,40
5353A007,Bayview Hunters Point,40
4160045,Potrero Hill,40
5737023,Bernal Heights,40
3211037,Outer Mission,40
6688045,Bernal Heights,40
0318004,Tenderloin,130
4063003D,Potrero Hill,40
5651009,Bernal Heights,40
0686023B,Japantown,50
0088019,North Beach,40
6323008A,Visitacion Valley,40
3722257,Financial District/South Beach,500
3598019,Mission,40
7143022,Outer Mission,40
5319052,Bayview Hunters Point,40
3983044,Potrero Hill,40
6019007A,Excelsior,40
5939009,Excelsior,40
4143049,Mission,40
5900A003,Portola,40
5321021,Bayview Hunters Point,40
5961041,Excelsior,40
4788022A,Bayview Hunters Point,40
5079003,Bayview Hunters Point,40
3752501,South of Market,85
3212027,Outer Mission,40
0320001,Tenderloin,80
6120020B,Portola,40
6990035,Oceanview/Merced/Ingleside,40
5334064,Bayview Hunters Point,40
1255034,Haight Ashbury,40
0733018,Western Addition,50
5720042,Bernal Heights,40
3209020I,Outer Mission,40
5353008,Bayview Hunters Point,40
6402003,Excelsior,40
6243006,Visitacion Valley,40
6007027C,Excelsior,40
0157075,Nob Hill,40
7059036,Oceanview/Merced/Ingleside,40
6532032A,Mission,40
5966007,Excelsior,40
5382011,Bayview Hunters Point,40
0707021,Western Addition,130
0711012,Western Addition,160
0318023,Tenderloin,130
3967005,Mission,68
3546045,Mission,45
3642070,Mission,40
5549102,Bernal Heights,40
0740036,Tenderloin,80
3732173,South of Market,45
3753241,South of Market,65
3786104,South of Market,130
3784109,South of Market,45
5871012,Excelsior,40
3978002,Potrero Hill,45
5574012,Bernal Heights,40
4022029,Mission,68
0280032,Nob Hill,80
5739019,Bernal Heights,40
5956024,Excelsior,40
3733148,South of Market,180
4262002,Mission,40
0128021,Nob Hill,40
5655006,Bernal Heights,40
7091006,Oceanview/Merced/Ingleside,40
7054019,Oceanview/Merced/Ingleside,40
6094006C,Excelsior,40
6165012,Visitacion Valley,40
0080011,Financial District/South Beach,84
3731202,South of Market,65
4073024,Potrero Hill,40
6092008,Excelsior,40
7106042D,Oceanview/Merced/Ingleside,40
4336002,Mission,40
5054ACOMB,Bayview Hunters Point,40
4337001D,Mission,40
0296009,Nob Hill,130
5683005,Bernal Heights,40
4075004,Potrero Hill,40
6782008,Outer Mission,40
4083022,Mission,68
5355036A,Bayview Hunters Point,40
6248039,Visitacion Valley,40
5744005A,Bernal Heights,40
4621018,Bayview Hunters Point,160
6500002,Excelsior,40
7009011,Oceanview/Merced/Ingleside,40
3731221,South of Market,45
7031012D,Outer Mission,40
4991282,Bayview Hunters Point,60
5523012A,Bernal Heights,40
3995035,Potrero Hill,68
3749003,Financial District/South Beach,65
5471020,Bayview Hunters Point,40
3180770,West of Twin Peaks,48
3702058,South of Market,240
0306029,Tenderloin,130
5802041,Bernal Heights,40
7054036D,Oceanview/Merced/Ingleside,40
5699009,Bernal Heights,40
5465026,Portola,40
6191061,Visitacion Valley,40
6421028,Excelsior,40
6083006A,Excelsior,40
5967018,Excelsior,40
7116022,Oceanview/Merced/Ingleside,40
0148032,Chinatown,40
4085052,Mission,40
4167013,Potrero Hill,40
4763021A,Bayview Hunters Point,40
6786003,Outer Mission,40
5644007,Bernal Heights,40
4266067,Mission,40
4757050,Bayview Hunters Point,40
7054048,Oceanview/Merced/Ingleside,40
4142007,Mission,55
7047050,Oceanview/Merced/Ingleside,40
3511044,Mission,40
0707002,Western Addition,160
7007020,Oceanview/Merced/Ingleside,40
4591A009,Bayview Hunters Point,40
7130028,Oceanview/Merced/Ingleside,40
5839020,Bernal Heights,40
3517033,South of Market,55
7110A009,Outer Mission,40
3726191,South of Market,45
3749184,Financial District/South Beach,65
6965A013,Outer Mission,40
5353A011C,Bayview Hunters Point,40
0116023,North Beach,40
0287005,Financial District/South Beach,130
4160040,Potrero Hill,40
5874019,Portola,40
7064A024A,Outer Mission,40
5358006,Bayview Hunters Point,40
7067040,Oceanview/Merced/Ingleside,40
7153052,Outer Mission,40
3519106,South of Market,65
6518010,Mission,50
7044A006E,Outer Mission,40
0166081,Financial District/South Beach,84
4283B013,Potrero Hill,40
5667006,Bernal Heights,40
0162026,North Beach,65
5335C002E,Bayview Hunters Point,40
3753177,South of Market,65
5361020,Bayview Hunters Point,40
6089024A,Excelsior,40
6990015,Oceanview/Merced/Ingleside,40
5870036,Excelsior,40
6968038,Outer Mission,40
3144B034,Outer Mission,40
5633015,Bernal Heights,40
3728171,South of Market,55
6339025,Excelsior,40
3568043,Mission,45
6408003,Excelsior,40
5617031,Bernal Heights,40
0151073,Nob Hill,40
6533005,Mission,40
3995057,Potrero Hill,58
0242025,Chinatown,65
3753493,South of Market,85
3706075,Financial District/South Beach,120
4142051,Mission,55
0256086,Nob Hill,65
6052015,Portola,40
5308013A,Bayview Hunters Point,40
4069045,Potrero Hill,40
3638037,Mission,40
5410019,Bayview Hunters Point,40
6359040,Visitacion Valley,40
6965A026,Outer Mission,40
5745045,Bernal Heights,40
0741003,Tenderloin,80
6997048,Oceanview/Merced/Ingleside,40
4151004,Mission,40
0838003,Hayes Valley,50
0116005,North Beach,40
5319014,Bayview Hunters Point,40
5743025,Bernal Heights,40
5723024,Bernal Heights,40
0158047,Nob Hill,65
6721011,Outer Mission,40
5904011,Excelsior,40
0284021,Nob Hill,65
4038027,Potrero Hill,40
3575107,Mission,65
0663006,Pacific Heights,40
0164004,North Beach,65
5660034,Bernal Heights,40
3755256,South of Market,55
4970005,Bayview Hunters Point,40
6969020,Outer Mission,65
3729097,South of Market,55
6272051,Excelsior,65
0224080,Chinatown,65
0142006,Financial District/South Beach,84
6209022,Visitacion Valley,40
5964019,Excelsior,40
6594040,Noe Valley,40
6518035,Mission,50
0191021,Chinatown,65
5523028,Bernal Heights,40
5900A005,Portola,40
4268032,Mission,45
5882034,Portola,40
7065012C,Outer Mission,40
5612044,Bernal Heights,40
3764071,Financial District/South Beach,50
5842039,Bernal Heights,40
0832074,Hayes Valley,40
5712018,Bernal Heights,40
5611022,Bernal Heights,40
6083010,Excelsior,40
3589145,Mission,55
6449013,Excelsior,40
6783001K,Outer Mission,40
4171004,Potrero Hill,40
4043014,Potrero Hill,45
3525012,South of Market,55
6200018,Visitacion Valley,40
6477016,Excelsior,40
5335C001E,Bayview Hunters Point,40
0710027,Western Addition,50
0754028,Western Addition,40
3725019,South of Market,85
3607056B,Mission,40
3615031C,Mission,55
6481009,Excelsior,40
6319019,Visitacion Valley,40
3513196,Mission,40
0275A001,Nob Hill,65
3987051,Potrero Hill,48
7381056,Lakeshore,40
3732153,South of Market,45
4914036,Bayview Hunters Point,40
5387015B,Bayview Hunters Point,40
3547261,Mission,65
0151057,Nob Hill,40
0311008,Financial District/South Beach,250
0785061,Hayes Valley,65
4100084,Potrero Hill,40
5611052,Bernal Heights,40
4028009,Potrero Hill,40
3597115,Mission,45
7064007B,Outer Mission,40
5613009,Bernal Heights,40
3730199,South of Market,40
6489007A,Excelsior,40
5384D013,Bayview Hunters Point,40
0687020,Japantown,50
4762010B,Bayview Hunters Point,40
3518119,South of Market,55
7381137,Lakeshore,40
0296015,Nob Hill,130
7166009,Outer Mission,40
6491001G,Excelsior,40
5542034,Bernal Heights,40
7069014,Oceanview/Merced/Ingleside,40
0272043,Nob Hill,65
6349019,Excelsior,40
1028013A,Pacific Heights,40
4267002,Mission,40
3704079,South of Market,90
5084021,Bayview Hunters Point,40
5706029,Bernal Heights,40
5813039,Bernal Heights,40
3211020,Outer Mission,40
4034071,Potrero Hill,40
5073019,Bayview Hunters Point,40
7057009A,Oceanview/Merced/Ingleside,40
4102063,Potrero Hill,40
5915019,Portola,40
4085050,Mission,40
3757144,South of Market,55
0194014,Chinatown,50
6023020,Excelsior,40
7100017,Outer Mission,40
6019007E,Excelsior,40
0692030,Nob Hill,65
5909029,Excelsior,40
5963042,Excelsior,40
