BlockLot,Height_Ft,Area_1000,Env_1000_Area_Height,Bldg_SqFt_1000,Res_Dummy,Historic,SDB_2016_5Plus,zp_OfficeComm,zp_DRMulti_RTO,zp_FBDMulti_RTO,zp_PDRInd,zp_Public,zp_Redev,zp_RH2,zp_RH3_RM1,DIST_SBayshore,DIST_BernalHts,DIST_Scentral,DIST_Central,DIST_BuenaVista,DIST_Northeast,DIST_WestAddition,DIST_SOMA,DIST_InnerSunset,DIST_Richmond,DIST_Ingleside,DIST_OuterSunset,DIST_Marina,DIST_Mission,SDB_2016_5Plus_EnvFull,Zoning_DR_EnvFull,fzp_expected_units_low,fzp_expected_units_high
3561019,50,2.9,14.5,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.007364650713749497,0.015366486275808899
1328008,40,5.0,19.8,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0076572642685933685,0.015979673067601747
7043008G,40,2.5000237605680544,10.000095042272218,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.000095042272218,0,0.0002742362739912059,0.0005725855221784846
2454029,40,1.8,7.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0032236096401076987,0.0067265590559890355
3283018,40,2.0,8.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.007778471401087993,0.016219643300867188
7048021,40,2.5247219248912667,10.098887699565067,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.098887699565068,0,0.00024169186835518841,0.0005046363383880591
0529007,65,3.7,23.9,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.10168804608177906,0.21108981977365346
2436012,40,3.0,12.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005559203463066408,0.011600092484882408
0251030,65,2.7,17.5,7.6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.5,0.0,0.10501430206457422,0.21838308231531015
6621048,40,1.8,7.2,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01422961106259016,0.029630864154660888
1195079,40,1.9,7.5,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.023637333824625975,0.04914187370436229
1474019,40,3.5,13.9,2.1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.9,0.0,0.02039118177978435,0.04253414996044906
3602023,40,2.5,9.8,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01941334487398073,0.040424896411586884
6764007,40,2.2,8.9,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.008675530860311061,0.018090127754645056
4075011,40,2.466135637091458,9.864542548365833,2.595,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.864542548365833,0,0.0018382767616603422,0.0038377792821034113
0130029,40,1.103432404315577,4.413729617262308,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0.006829391985418562,0.014229445066632892
6928003,40,5.7,22.6,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.02237415045424583,0.046653378266015795
1781016,40,3.0,12.0,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0055477143831210145,0.0115761339653901
0997028,40,2.3,9.0,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0034337530534843197,0.007165828277314912
2153013,40,3.0,12.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0055579257252175536,0.01159742798331342
1753013,50,10.5,52.6,8.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.6,0.0,0.596432949278195,1.2358589433395852
1588001L,40,2.8,11.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.004223320060461381,0.008813530352119252
0603008,40,6.2,24.9,26.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.04335419875830326,0.09030713415619543
3609132,40,1.6109330056721272,6.4437320226885095,0.855,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.004805410250152729,0.010023326292979163
4144004,40,2.749998171487215,10.99999268594886,2.304,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.99999268594886,0,0.00026293789266650927,0.0005489966165333134
0979010,40,3.0,12.0,5.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.021524400946985732,0.04483227417340217
1856024,40,2.5,10.1,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.012617071943798137,0.026299129081061596
2660004A,40,2.5,9.9,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.019720120564622516,0.04106308697258747
6078034,40,2.500023137343507,10.000092549374028,0.875,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.000092549374028,0,0.0002736848684467973,0.0005714342484162867
3143019A,40,0.2,0.7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0015368995220486645,0.003199385746619614
2041001,40,2.2,8.9,4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.01103297484256778,0.022997524146133992
2614074,40,4.0,16.1,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.008119078959892185,0.016940699044630327
2719008,40,2.4,9.6,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.019103284672909105,0.03977876241821194
0606030,40,4.5,18.0,8.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.032339799764399935,0.06735894379374366
2822A031,40,3.3,13.4,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.01681234370104803,0.035043527930187696
4792025B,40,2.500015107952209,10.000060431808835,1.197,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000060431808835,0,0.000350558920113352,0.0007319379391609699
5619067,40,1.7500934778693635,7.000373911477455,2.345,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5.133294217488133e-05,0.0001071803756325421
1837028,40,3.0,12.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.014981303594226501,0.031227186057835823
0417B003,40,2.6,10.6,3.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.01905804509063004,0.03969497534390635
6309B011,40,1.889548487491399,7.558193949965596,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5.397305966632187e-05,0.0001126928260605458
3635004,55,4.131159242607831,22.72137583434307,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.72137583434307,0,0.002781319222565135,0.005806823012248928
2324009,40,2.5,9.9,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.00457110443777366,0.009538299146713886
0103029,40,2.339987512543538,9.359950050174152,6.87,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.359950050174152,0,0.008530337839249403,0.01780015442035214
5745005,40,1.886933343926648,7.547733375706592,1.45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7.251925473190743e-05,0.00015141576741207907
4086026,45,1.7967906814548855,8.085558066546984,1.017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0001439024972967078,0.00030045625349914225
2949A034,40,2.5,10.1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.009857564773303842,0.020554858533408223
2042030,40,6.3,25.1,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.03194399400547288,0.0665821920040198
2638011,40,2.4,9.5,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.011827678090832999,0.02465385132516282
2344A021,40,3.3,13.1,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0164462897731901,0.03428049079571491
7214001A,40,4.0,16.0,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.015695378558497036,0.03272756567902863
2835014,40,3.5,14.2,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.01785684772677441,0.03722053856556306
3650042,50,2.2,11.0,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022191921458522508,0.04620849122125377
6234047,40,2.488583583593298,9.954334334373192,1.78,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.954334334373192,0,0.0002718483514879137,0.000567599755952334
0300020,80,6.450028942185304,51.60023153748243,16.945,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.60023153748243,0,0.20837165019022325,0.43389334748073816
2065006B,40,1.4,5.6,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.002571938054357927,0.005366754802688223
2067002A,40,3.0,11.9,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005497580992727662,0.011471528299915776
0214001A,65,3.3,21.6,9.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.03405147045624505,0.07094544147151441
2153052,40,2.5,10.1,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.004661492861382275,0.009726910804200302
1665003,40,2.0,8.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0030534454945410463,0.006372170965893667
6246053,40,2.49999726710122,9.99998906840488,1.855,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99998906840488,0,0.00035677587340224266,0.0007449181105794613
4210008,40,2.708252693117464,10.833010772469857,2.734,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.833010772469857,0,0.0007300900376003724,0.0015243343079729358
2379014,40,3.0,12.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005563038438342587,0.011608089658725217
0515029,40,2.3,9.3,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.016749457947213137,0.03488639632108354
7007011,40,2.4591291461629092,9.836516584651637,0.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.836516584651635,0,0.00023481105176238466,0.0004902696770579802
7045A003,40,2.1942176671879663,8.776870668751865,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.297981388803987e-05,0.00013149843496716682
0523002,65,2.5,16.6,6.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.02622095059575614,0.05463050389563633
