stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
5751,15751,Noriega St & 34th Ave  , ,37.753619,-122.492432, ,https://SFMTA.com/15751
5752,15752,Noriega St & 34th Ave  , ,37.753458,-122.49265, ,https://SFMTA.com/15752
5753,15753,Noriega St & 38th Ave  , ,37.75343,-122.496717, ,https://SFMTA.com/15753
5754,15754,Noriega St & 39th Ave  , ,37.753215,-122.498012, ,https://SFMTA.com/15754
5755,15755,Noriega St & 40th Ave  , ,37.753331,-122.498848, ,https://SFMTA.com/15755
5756,15756,Noriega St & 41st Ave  , ,37.753125,-122.500166, ,https://SFMTA.com/15756
5757,15757,Noriega St & 42nd Ave  , ,37.753241,-122.501002, ,https://SFMTA.com/15757
5758,15758,Noriega St & 43rd Ave  , ,37.753026,-122.502309, ,https://SFMTA.com/15758
5759,15759,Noriega St & 44th Ave  , ,37.75316,-122.503088, ,https://SFMTA.com/15759
5761,15761,Noriega St & 46th Ave  , ,37.753034,-122.505712, ,https://SFMTA.com/15761
5762,15762,Noriega St & 46th Ave  , ,37.752891,-122.505574, ,https://SFMTA.com/15762
5763,15763,Noriega St & 48th Ave  , ,37.752934,-122.507854, ,https://SFMTA.com/15763
5764,15764,Noriega St & Sunset Blvd  , ,37.753493,-122.495056, ,https://SFMTA.com/15764
5765,15765,Noriega St & Sunset Blvd  , ,37.753395,-122.495274, ,https://SFMTA.com/15765
5766,15766,Northridge Rd & Dormitory Rd   , ,37.73025,-122.37448, ,https://SFMTA.com/15766
5767,15767,Northridge Rd & Harbor Rd  , ,37.730978,-122.377013, ,https://SFMTA.com/15767
5768,15768,Northridge Rd & Ingalls St   , ,37.73163,-122.37896, ,https://SFMTA.com/15768
5769,15769,Nevada St & Cortland Ave  , ,37.74007,-122.41131, ,https://SFMTA.com/15769
5770,15770,Nevada St & Cortland Ave  , ,37.73992,-122.41141, ,https://SFMTA.com/15770
5774,15774,Oakdale Ave & Barneveld Ave , ,37.741885,-122.403341, ,https://SFMTA.com/15774
5775,15775,Oakdale Ave & Baldwin Ct   , ,37.729384,-122.381367, ,https://SFMTA.com/15775
5776,15776,Oakdale Ave & Griffith St   , ,37.728223,-122.379318, ,https://SFMTA.com/15776
5777,15777,Oakdale Ave & Ingalls St   , ,37.730152,-122.382684, ,https://SFMTA.com/15777
5779,15779,Ocean Ave & Aptos Ave   , ,37.728285,-122.467561, ,https://SFMTA.com/15779
5780,15780,Ocean Ave & Aptos Ave   , ,37.728383,-122.467871, ,https://SFMTA.com/15780
5781,15781,Ocean Ave/Balboa Park Bart Station   , ,37.722942,-122.447493, ,https://SFMTA.com/15781
5782,15782,Ocean Ave & Cayuga Ave  , ,37.72367,-122.43867, ,https://SFMTA.com/15782
5783,15783,Ocean Ave & Cayuga Ave  , ,37.72357,-122.43853, ,https://SFMTA.com/15783
5784,15784,Ocean Ave/CCSF Pedestrian Bridge, ,37.72304,-122.451448, ,https://SFMTA.com/15784
5785,15785,Ocean Ave/CCSF Pedestrian Bridge, ,37.722947,-122.450866, ,https://SFMTA.com/15785
5787,15787,Ocean Ave & Dorado Ter  , ,37.724957,-122.461059, ,https://SFMTA.com/15787
5788,15788,Ocean Ave & Fairfield Way  , ,37.726008,-122.464072, ,https://SFMTA.com/15788
5790,15790,Ocean Ave & Howth St  , ,37.723022,-122.449784, ,https://SFMTA.com/15790
5791,15791,Ocean Ave & Howth St  , ,37.72286,-122.44929, ,https://SFMTA.com/15791
5792,15792,Ocean Ave & Junipero Serra Blvd, ,37.730952,-122.471686, ,https://SFMTA.com/15792
5793,15793,Ocean Ave & Jules Ave  , ,37.724955,-122.46139, ,https://SFMTA.com/15793
5794,15794,Ocean Ave & Lee St  , ,37.723459,-122.453999, ,https://SFMTA.com/15794
